Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A2_061_Line_Y_1km,MOD11A2_061_Sample_X_1km,MOD11A2_061_LST_Day_1km,MOD11A2_061_QC_Day,MOD11A2_061_QC_Day_bitmask,MOD11A2_061_QC_Day_MODLAND,MOD11A2_061_QC_Day_MODLAND_Description,MOD11A2_061_QC_Day_Data_Quality_flag,MOD11A2_061_QC_Day_Data_Quality_flag_Description,MOD11A2_061_QC_Day_Emis_Error_flag,MOD11A2_061_QC_Day_Emis_Error_flag_Description,MOD11A2_061_QC_Day_LST_Error_Flag,MOD11A2_061_QC_Day_LST_Error_Flag_Description
Lavoura,MTAgro,-12.5564,-55.7224,2024-07-19,h12v10,306.0,673.0,305.9,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-07-27,h12v10,306.0,673.0,307.3,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-08-04,h12v10,306.0,673.0,306.58,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-08-12,h12v10,306.0,673.0,307.88,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-08-20,h12v10,306.0,673.0,306.94,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-08-28,h12v10,306.0,673.0,311.16,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-09-05,h12v10,306.0,673.0,309.78,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-09-13,h12v10,306.0,673.0,308.4,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-09-21,h12v10,306.0,673.0,309.02,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-09-29,h12v10,306.0,673.0,308.52,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2024-10-07,h12v10,306.0,673.0,311.22,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-10-15,h12v10,306.0,673.0,308.0,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2024-10-23,h12v10,306.0,673.0,312.84,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2024-10-31,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-11-08,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-11-16,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-11-24,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-12-02,h12v10,306.0,673.0,307.04,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2024-12-10,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-12-18,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2024-12-26,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-01-01,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-01-09,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-01-17,h12v10,306.0,673.0,307.94,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-01-25,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-02-02,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-02-10,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-02-18,h12v10,306.0,673.0,307.4,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-02-26,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-03-06,h12v10,306.0,673.0,307.78,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-03-14,h12v10,306.0,673.0,306.46,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-03-22,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-03-30,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
