Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_061_Line_Y_250m,MOD13Q1_061_Sample_X_250m,MOD13Q1_061__250m_16_days_NDVI,MOD13Q1_061__250m_16_days_VI_Quality,MOD13Q1_061__250m_16_days_VI_Quality_bitmask,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow_Description
Lavoura,MTAgro,-12.5564,-55.7224,2021-08-29,h12v10,1227.0,2692.0,0.1991,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-09-14,h12v10,1227.0,2692.0,0.2275,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-09-30,h12v10,1227.0,2692.0,0.264,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-10-16,h12v10,1227.0,2692.0,0.2509,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-11-01,h12v10,1227.0,2692.0,0.2427,2066.0,0b0000100000010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-11-17,h12v10,1227.0,2692.0,0.3151,2066.0,0b0000100000010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-12-03,h12v10,1227.0,2692.0,0.2521,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2021-12-19,h12v10,1227.0,2692.0,0.7306,36330.0,0b1000110111101010,0b10,"Pixel produced, but most probably cloudy",0b1010,Decreasing quality,0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Lavoura,MTAgro,-12.5564,-55.7224,2022-01-01,h12v10,1227.0,2692.0,0.3489,2189.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2022-01-17,h12v10,1227.0,2692.0,0.3264,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2022-02-02,h12v10,1227.0,2692.0,0.3871,3558.0,0b0000110111100110,0b10,"Pixel produced, but most probably cloudy",0b1001,Decreasing quality,0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2022-02-18,h12v10,1227.0,2692.0,0.3673,2189.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2022-03-06,h12v10,1227.0,2692.0,0.342,3098.0,0b0000110000011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Lavoura,MTAgro,-12.5564,-55.7224,2022-03-22,h12v10,1227.0,2692.0,0.3303,35293.0,0b1000100111011101,0b01,"VI produced, but check other QA",0b0111,Decreasing quality,0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Lavoura,MTAgro,-12.5564,-55.7224,2022-04-07,h12v10,1227.0,2692.0,0.3398,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
